episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
24,1388.1780000000022,1374.3279999999997,149,0.8246698778947946,22.86153458827644,7.581678997323551,4470,2338,358251,147,1,1,0,113,11,2,25.522000000001206,2.5824955752212495,0.9112903225806451
25,1205.3000000000006,1176.9500000000003,158,0.8180725188716362,20.86394982714253,10.740471955894922,4740,2418,386207,158,0,0,0,123,26,3,25.00000000000113,4.7130081300813105,0.825503355704698
26,1762.2620000000009,1745.7619999999997,175,0.8115279387206631,26.769777925695692,7.04491844903855,5250,2503,421913,175,0,0,0,137,6,2,30.738000000002007,1.69881751824819,0.958041958041958
27,863.6230000000003,845.723,137,0.8050357152108978,17.372902086507665,6.090555692792229,4110,2582,450911,137,0,0,0,105,31,3,23.477000000000864,6.2035904761904845,0.7720588235294118
28,1761.4720000000023,1756.1720000000003,188,0.7985954294892106,22.109393255240185,7.384089994853271,5640,2691,482233,186,0,2,0,149,22,1,30.42800000000196,2.8089127516778656,0.8713450292397661
29,1660.9250000000013,1653.325,158,0.7922066660532969,23.16932288804784,8.179271255364396,4740,2757,508078,158,0,0,0,121,3,1,27.07500000000141,1.0667355371900944,0.9758064516129032
30,1257.448000000001,1228.5979999999997,154,0.7858690127248705,19.32642239813584,5.353601690185019,4620,2820,534093,153,1,0,0,121,22,3,25.552000000001225,4.235966942148771,0.8461538461538461
31,746.6180000000005,706.4179999999993,130,0.7795820606230716,20.572829949567453,7.8562829694992455,3900,2889,556663,129,0,1,0,101,30,4,22.182000000000553,6.815663366336639,0.7709923664122137
32,1584.2920000000008,1572.142,169,0.773345404138087,21.65862724277571,11.014721574726895,5070,2982,585667,166,0,3,0,131,14,2,29.50800000000186,2.6389923664122277,0.903448275862069
33,1413.5010000000009,1399.3009999999997,150,0.7671586409049822,27.008006175036233,8.745336610370213,4500,3029,615131,145,3,2,0,114,11,2,24.99900000000101,2.5570087719298336,0.912
