episode,raw_episode_return,shaped_episode_return,decision_steps,epsilon,mean_real_td_error,mean_planning_td_error,planning_updates,model_size,queue_size,meta_keep,meta_swap,meta_charge,meta_fallback,delivered,dropped,depletion_events,energy,cost_per_order,success_rate
21,1409.0280000000005,1381.127999999999,154,0.776060959428547,28.000665799883958,11.089796665117337,4620,2103,270410,153,1,0,0,121,9,4,26.972000000001433,3.0245619834710866,0.9307692307692308
22,1329.913000000001,1303.6629999999996,144,0.7667482279154044,28.080705747939646,8.480308865397065,4320,2165,298308,143,0,1,0,113,10,3,25.78700000000119,2.92112389380532,0.9186991869918699
23,966.6760000000004,937.2759999999997,137,0.7575472491804196,20.182796710707844,5.621204127940529,4110,2242,321545,137,0,0,0,106,27,3,23.52400000000089,5.503056603773593,0.7969924812030075
24,1592.177,1574.877,154,0.7484566821902545,26.197022995766396,8.10933816381347,4620,2312,347998,154,0,0,0,119,4,2,27.42300000000154,1.578344537815139,0.967479674796748
25,1205.3000000000006,1176.9500000000003,158,0.7394752020039714,22.083639673652904,9.158551368180206,4740,2391,376797,158,0,0,0,123,26,3,25.00000000000113,4.7130081300813105,0.825503355704698
26,1762.2620000000009,1745.7619999999997,175,0.7306014995799238,27.06879151505019,9.477268556549435,5250,2482,404947,175,0,0,0,137,6,2,30.738000000002007,1.69881751824819,0.958041958041958
27,1215.567000000001,1188.1669999999997,150,0.7218342815849648,21.01280678473413,9.469155988454819,4500,2563,424344,148,0,2,0,116,20,3,25.03300000000111,4.176146551724147,0.8529411764705882
28,1538.8710000000012,1520.0209999999993,183,0.7131722702059452,27.60243212364492,10.045040810564178,5490,2646,454705,183,0,0,0,143,28,2,28.929000000001725,3.8890139860139983,0.8362573099415205
29,1067.72,1030.0699999999997,132,0.7046142029634739,28.17759187395374,10.47260878928984,3960,2705,479214,130,1,1,0,104,16,4,22.480000000000743,4.493076923076931,0.8666666666666667
30,1607.7650000000017,1588.1149999999993,167,0.6961588325279122,25.745427347518905,6.650757587074995,5010,2777,512563,167,0,0,0,131,13,2,28.13500000000165,2.497977099236654,0.9097222222222222
31,1187.8440000000012,1161.7439999999992,147,0.6878049265375773,23.88316141350233,9.324233070576813,4410,2841,539044,144,1,2,0,113,19,3,25.456000000001087,4.134123893805319,0.8560606060606061
32,933.948000000001,905.0479999999995,142,0.6795512674191264,23.592477592324812,8.307421983127863,4260,2911,567829,142,0,0,0,111,34,3,24.852000000001116,6.225693693693704,0.7655172413793103
33,962.0699999999997,913.2200000000004,130,0.6713966522100969,25.106254325534863,7.871624573377463,3900,2969,590805,128,1,1,0,103,19,5,21.430000000000454,5.465339805825248,0.8442622950819673
