row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
update,13312,104,104,,,2833.85693359375,-0.2099309116601944,5668.14208984375,0.40657246112823486
update,13440,105,104,,,1536.991943359375,0.046373747289180756,3073.8916015625,0.02148297429084778
episode,13525,106,104,-629.2089999999998,327,,,,
update,13568,106,105,,,438.5323181152344,0.23152174055576324,876.605712890625,0.20831802487373352
update,13696,107,105,,,1018.0680541992188,-0.04223918169736862,2036.2239990234375,0.16948804259300232
episode,13728,108,105,-447.45699999999977,203,,,,
update,13824,108,106,,,2666.646484375,0.0905192643404007,5333.12060546875,0.4273689389228821
update,13952,109,106,,,1451.10888671875,0.0002901508705690503,2902.2177734375,0.019531160593032837
update,14080,110,106,,,1694.7760009765625,-0.1682761013507843,3389.88916015625,0.029687047004699707
episode,14082,111,106,-1245.6519999999969,354,,,,
update,14208,111,107,,,1286.51953125,0.3324420154094696,2572.386474609375,0.615574836730957
episode,14236,112,107,-205.639,154,,,,
update,14336,112,108,,,2160.107177734375,0.0022461246699094772,4320.22021484375,0.5195115804672241
episode,14357,113,108,-215.389,121,,,,
update,14464,113,109,,,3084.554443359375,0.05180400237441063,6169.0146484375,0.4724157154560089
episode,14479,114,109,-400.4709999999999,122,,,,
update,14592,114,110,,,4155.162109375,0.14690959453582764,8310.04296875,0.6299143433570862
episode,14608,115,110,-522.509,129,,,,
update,14720,115,111,,,6704.13525390625,0.17814621329307556,13407.9228515625,0.44692808389663696
episode,14735,116,111,-557.6469999999999,127,,,,
update,14848,116,112,,,6954.34912109375,0.09450346231460571,13908.5205078125,0.5853591561317444
episode,14851,117,112,-125.64399999999993,116,,,,
episode,14959,117,113,-420.2679999999999,108,,,,
update,14976,117,114,,,6847.85302734375,0.15118974447250366,13695.41796875,0.7359814643859863
update,15104,118,114,,,1717.95166015625,0.039632052183151245,3435.83251953125,0.4311674237251282
episode,15120,119,114,-182.24799999999976,161,,,,
update,15232,119,115,,,1381.62744140625,0.0028836620040237904,2763.259033203125,0.4958437979221344
episode,15271,120,115,-227.8729999999998,151,,,,
update,15360,120,116,,,2474.89111328125,0.1104474887251854,4949.5712890625,0.47669821977615356
episode,15380,121,116,-335.9119999999999,109,,,,
update,15488,121,117,,,2532.0625,0.05931033939123154,5064.01513671875,0.427283376455307
episode,15523,122,117,-271.76800000000003,143,,,,
update,15616,122,118,,,5536.2763671875,0.054883986711502075,11072.4521484375,0.4239490032196045
episode,15676,123,118,-332.0549999999999,153,,,,
update,15744,123,119,,,5240.802734375,0.32827630639076233,10480.9619140625,0.6489201188087463
episode,15839,124,119,-86.85899999999972,163,,,,
update,15872,124,120,,,1233.322021484375,0.08330883085727692,2466.487060546875,0.4743208885192871
episode,15901,125,120,-228.48100000000008,62,,,,
update,16000,125,121,,,3451.476318359375,0.1825583279132843,6902.59716796875,0.4934913218021393
episode,16010,126,121,-245.66000000000008,109,,,,
update,16128,126,122,,,7997.24267578125,0.24253621697425842,15994.0087890625,0.45436155796051025
episode,16129,127,122,-146.6629999999999,119,,,,
episode,16237,127,123,-243.231,108,,,,
update,16256,127,124,,,3161.127197265625,0.11694205552339554,6322.03173828125,0.5577009320259094
episode,16357,128,124,-290.39500000000004,120,,,,
update,16384,128,125,,,6172.4462890625,0.13465340435504913,12344.6318359375,0.44593358039855957
episode,16452,129,125,-294.6189999999999,95,,,,
update,16512,129,126,,,5102.951171875,0.13053026795387268,10205.650390625,0.45974093675613403
episode,16557,130,126,-296.1479999999999,105,,,,
update,16640,130,127,,,5499.74609375,-0.09334620088338852,10999.6904296875,0.5874829292297363
episode,16672,131,127,-274.47799999999995,115,,,,
episode,16755,131,128,-100.91900000000001,83,,,,
update,16768,131,129,,,8470.982421875,0.06434164941310883,16941.845703125,0.5169128775596619
episode,16847,132,129,-147.875,92,,,,
update,16896,132,130,,,2419.1279296875,0.11023499071598053,4838.046875,0.5931531190872192
episode,16941,133,130,-198.06699999999995,94,,,,
update,17024,133,131,,,5072.25634765625,0.1462734341621399,10144.228515625,0.44407975673675537
episode,17029,134,131,-152.62700000000004,88,,,,
update,17152,134,132,,,3616.857421875,0.05434846132993698,7233.615234375,0.45209816098213196
episode,17157,135,132,-41.35000000000011,128,,,,
episode,17229,135,133,-265.02,72,,,,
