row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
episode,1832,15,29,-429.3500000000001,62,,,,
update,1920,15,30,,,14784.09765625,-0.3591349720954895,29568.93359375,1.936463713645935
episode,1942,16,30,-196.33200000000016,110,,,,
episode,1979,16,31,-24.187000000000012,37,,,,
episode,2038,16,32,-40.35800000000003,59,,,,
update,2048,16,33,,,10762.009765625,-0.22115188837051392,21524.478515625,1.6835596561431885
episode,2106,17,33,41.9459999999999,68,,,,
update,2176,17,34,,,4292.548828125,-0.3770320415496826,8585.869140625,1.7595146894454956
episode,2187,18,34,-206.29099999999994,81,,,,
episode,2235,18,35,-81.39600000000004,48,,,,
episode,2300,18,36,-384.2370000000001,65,,,,
update,2304,18,37,,,16418.578125,-0.3366621434688568,32837.84765625,1.913956880569458
episode,2332,19,37,-62.985999999999976,32,,,,
episode,2403,19,38,-793.4730000000001,71,,,,
update,2432,19,39,,,25733.865234375,-0.27249130606651306,51468.296875,1.8278251886367798
episode,2453,20,39,-220.78000000000003,50,,,,
episode,2521,20,40,-653.364,68,,,,
update,2560,20,41,,,30310.849609375,-0.2751607894897461,60622.265625,1.7159321308135986
episode,2586,21,41,-1091.054,65,,,,
episode,2642,21,42,-102.76100000000002,56,,,,
update,2688,21,43,,,38948.3984375,-0.4497252106666565,77897.7109375,1.7945024967193604
episode,2715,22,43,-672.096,73,,,,
episode,2774,22,44,-510.925,59,,,,
update,2816,22,45,,,31003.400390625,-0.3396099805831909,62007.5,1.9874929189682007
episode,2830,23,45,-614.4780000000002,56,,,,
episode,2912,23,46,-689.4820000000001,82,,,,
update,2944,23,47,,,40543.68359375,-0.3855037987232208,81088.15625,1.7029991149902344
episode,2997,24,47,-497.7160000000001,85,,,,
episode,3059,24,48,-311.75200000000007,62,,,,
update,3072,24,49,,,19721.0546875,-0.29154062271118164,39442.7109375,1.7988808155059814
episode,3108,25,49,-696.036,49,,,,
episode,3169,25,50,-206.62,61,,,,
update,3200,25,51,,,29668.03515625,-0.37120991945266724,59336.828125,1.5509679317474365
episode,3226,26,51,-406.8920000000001,57,,,,
episode,3272,26,52,-320.22,46,,,,
episode,3327,26,53,-993.5669999999999,55,,,,
update,3328,26,54,,,49983.02734375,-0.2808321714401245,99966.6328125,1.7296382188796997
episode,3403,27,54,-1205.6940000000002,76,,,,
episode,3446,27,55,-264.7860000000001,43,,,,
update,3456,27,56,,,54431.92578125,-0.4066768288612366,108864.6796875,1.5988895893096924
episode,3527,28,56,-814.613,81,,,,
episode,3580,28,57,-283.6829999999999,53,,,,
update,3584,28,58,,,32135.162109375,-0.2889292538166046,64270.921875,1.9317069053649902
episode,3659,29,58,-401.95599999999996,79,,,,
update,3712,29,59,,,22084.130859375,-0.3655509054660797,44169.01171875,1.9413292407989502
episode,3730,30,59,-1177.958,71,,,,
episode,3782,30,60,-533.102,52,,,,
update,3840,30,61,,,19436.501953125,-0.3138607442378998,38873.6484375,1.7076512575149536
episode,3847,31,61,-493.0759999999999,65,,,,
episode,3939,31,62,-672.2740000000001,92,,,,
update,3968,31,63,,,20773.818359375,-0.24502921104431152,41548.14453125,1.9561766386032104
episode,4006,32,63,-5.732000000000021,67,,,,
episode,4080,32,64,-866.5260000000001,74,,,,
update,4096,32,65,,,25266.052734375,-0.18336917459964752,50532.4921875,1.8247054815292358
episode,4126,33,65,-169.50400000000002,46,,,,
episode,4187,33,66,-703.4419999999999,61,,,,
update,4224,33,67,,,32004.43359375,-0.21398961544036865,64009.31640625,1.868288278579712
episode,4247,34,67,-1130.31,60,,,,
episode,4304,34,68,-822.6690000000001,57,,,,
episode,4352,34,69,-248.81899999999996,48,,,,
update,4352,34,70,,,70339.296875,-0.2667034864425659,140679.140625,1.8152178525924683
episode,4428,35,70,-896.1700000000001,76,,,,
