row_type,step,update,episode,episode_return,episode_length,loss,policy_loss,value_loss,entropy
update,10752,84,88,,,1732.83203125,-2.25116229057312,3470.16650390625,0.0045492216013371944
episode,10755,85,88,-1929.439999999994,519,,,,
update,10880,85,89,,,1153.9578857421875,15.401602745056152,2277.121826171875,0.464702308177948
update,11008,86,89,,,2546.70654296875,-3.967878818511963,5101.349609375,0.03807985037565231
update,11136,87,89,,,1216.228515625,-0.019489195197820663,2432.49609375,0.0034701968543231487
episode,11260,88,89,-1852.6619999999912,505,,,,
update,11264,88,90,,,1590.39990234375,-0.12738767266273499,3181.0556640625,0.054842960089445114
update,11392,89,90,,,344.6563415527344,7.525568962097168,674.2689819335938,0.37121737003326416
update,11520,90,90,,,1285.101806640625,-3.771775484085083,2577.747802734375,0.034165382385253906
update,11648,91,90,,,1126.9793701171875,-1.5766751766204834,2257.11279296875,0.040618374943733215
update,11776,92,90,,,534.3546752929688,-0.006316289305686951,1068.721923828125,0.0018486687913537025
episode,11777,93,90,-1409.4969999999953,517,,,,
update,11904,93,91,,,483.07757568359375,-2.988412857055664,972.1369018554688,0.24692709743976593
update,12032,94,91,,,772.0574340820312,-1.9438096284866333,1548.0052490234375,0.1399874985218048
update,12160,95,91,,,403.4980773925781,-0.977949321269989,808.953369140625,0.06600815057754517
update,12288,96,91,,,2532.993896484375,-1.4828112125396729,5068.95361328125,0.00297156791202724
episode,12297,97,91,-1918.0009999999852,520,,,,
update,12416,97,92,,,1305.3131103515625,5.966572284698486,2598.701416015625,0.41570189595222473
update,12544,98,92,,,1164.2352294921875,-5.981401443481445,2340.435546875,0.10994450002908707
update,12672,99,92,,,338.65045166015625,-0.6416357159614563,678.58544921875,0.06258150935173035
update,12800,100,92,,,979.608154296875,-3.0869250297546387,1965.3907470703125,0.03262603282928467
episode,12812,101,92,-1472.2650000000062,515,,,,
update,12928,101,93,,,763.773681640625,-2.439027786254883,1532.43017578125,0.23791787028312683
update,13056,102,93,,,1430.8779296875,-0.22578220069408417,2862.208251953125,0.04127078503370285
update,13184,103,93,,,864.983642578125,-1.1614525318145752,1732.2919921875,0.08894230425357819
update,13312,104,93,,,845.8936157226562,-0.09378020465373993,1691.97509765625,0.01708817481994629
episode,13318,105,93,-2063.5860000000152,506,,,,
update,13440,105,94,,,769.0181274414062,1.609663963317871,1534.8221435546875,0.26099440455436707
update,13568,106,94,,,2123.686767578125,-4.7866692543029785,4256.947265625,0.02459874376654625
update,13696,107,94,,,841.18115234375,-0.1455548256635666,1682.6539306640625,0.023924196138978004
update,13824,108,94,,,366.6288146972656,-0.010207507759332657,733.278076171875,0.00400229636579752
episode,13828,109,94,-1777.1739999999834,510,,,,
update,13952,109,95,,,1359.6700439453125,2.433018445968628,2714.478271484375,0.20230431854724884
update,14080,110,95,,,622.1018676757812,-0.05252472683787346,1244.30908203125,0.010726635344326496
update,14208,111,95,,,729.4607543945312,-0.10016410797834396,1459.1221923828125,0.018477968871593475
update,14336,112,95,,,910.1317749023438,-0.04154996946454048,1820.3468017578125,0.008550146594643593
episode,14339,113,95,-1906.287000000011,511,,,,
update,14464,113,96,,,998.615966796875,1.9195064306259155,1993.39697265625,0.20424582064151764
update,14592,114,96,,,1587.8583984375,-0.07211878895759583,3175.861328125,0.012942393310368061
update,14720,115,96,,,713.0218505859375,-0.07800093293190002,1426.199951171875,0.014808451756834984
update,14848,116,96,,,638.7383422851562,-0.09072766453027725,1277.658447265625,0.015665847808122635
episode,14853,117,96,-1976.4370000000163,514,,,,
update,14976,117,97,,,1761.4041748046875,2.7139992713928223,3517.384765625,0.22243504226207733
update,15104,118,97,,,903.6876220703125,-0.0387059710919857,1807.452880859375,0.009518739767372608
update,15232,119,97,,,502.7438049316406,-0.041532836854457855,1005.5708618164062,0.009808200411498547
update,15360,120,97,,,398.4006042480469,-0.07028192281723022,796.942138671875,0.017256127670407295
episode,15364,121,97,-1826.295000000013,511,,,,
update,15488,121,98,,,1197.565673828125,-0.09860098361968994,2395.33154296875,0.14495760202407837
update,15616,122,98,,,963.9220581054688,-0.047573938965797424,1927.939453125,0.011651216074824333
update,15744,123,98,,,640.65234375,-0.06637711077928543,1281.437744140625,0.014497900381684303
episode,15864,124,98,-1975.5020000000156,500,,,,
update,15872,124,99,,,2834.152099609375,-0.04795079305768013,5668.4013671875,0.08091633766889572
update,16000,125,99,,,950.06689453125,-0.23575758934020996,1900.608154296875,0.14060358703136444
update,16128,126,99,,,688.4144287109375,-0.07342223823070526,1376.97607421875,0.01647859811782837
update,16256,127,99,,,307.11260986328125,-0.0274835042655468,614.2804565429688,0.012096364051103592
episode,16382,128,99,-2171.148000000014,518,,,,
update,16384,128,100,,,4878.14404296875,2.4631593227386475,9751.3623046875,0.03676217421889305
update,16512,129,100,,,337.6156005859375,-0.03281711786985397,675.3009033203125,0.20539924502372742
update,16640,130,100,,,415.73663330078125,-1.2832331657409668,834.0408935546875,0.05699910968542099
update,16768,131,100,,,486.8751220703125,-0.06651991605758667,973.8836669921875,0.018441809341311455
update,16896,132,100,,,364.96722412109375,-0.19989028573036194,730.3350219726562,0.03999590501189232
episode,16901,133,100,-1716.6489999999822,519,,,,
update,17024,133,101,,,2186.357177734375,0.16640707850456238,4372.38671875,0.2671145796775818
update,17152,134,101,,,907.8571166992188,-2.9812543392181396,1821.677490234375,0.035006433725357056
update,17280,135,101,,,287.21722412109375,-0.001141993678174913,574.4367065429688,0.00042551601654849946
update,17408,136,101,,,156.71348571777344,-0.006681473925709724,313.4403991699219,0.0034178770147264004
episode,17418,137,101,-1952.7119999999886,517,,,,
update,17536,137,102,,,3065.174560546875,-0.3592163622379303,6131.0703125,0.14328064024448395
update,17664,138,102,,,1256.2197265625,-3.7260324954986572,2519.893310546875,0.08243171870708466
update,17792,139,102,,,599.9476318359375,-1.6723535060882568,1203.2401123046875,0.008131643757224083
update,17920,140,102,,,94.09620666503906,-0.001149037852883339,188.19473266601562,0.0009416531538590789
episode,17922,141,102,-1782.1109999999949,504,,,,
update,18048,141,103,,,1637.8780517578125,-1.574355959892273,3278.909912109375,0.26116663217544556
update,18176,142,103,,,609.6998291015625,-0.29323169589042664,1219.9866943359375,0.030629072338342667
update,18304,143,103,,,575.691162109375,-0.11272142827510834,1151.608154296875,0.017459092661738396
update,18432,144,103,,,650.615478515625,-0.013690088875591755,1301.25830078125,0.0027347481809556484
episode,18441,145,103,-1761.5969999999932,519,,,,
update,18560,145,104,,,5240.36669921875,0.5646786689758301,10479.6083984375,0.1829814314842224
update,18688,146,104,,,1048.3450927734375,0.7795152068138123,2095.13232421875,0.05795040354132652
update,18816,147,104,,,415.98455810546875,-0.137698233127594,832.2451171875,0.03167441487312317
episode,18940,148,104,-1601.6769999999985,499,,,,
update,18944,148,105,,,6097.2666015625,-0.2570183277130127,12195.046875,0.015729332342743874
update,19072,149,105,,,1113.164306640625,0.7226101160049438,2224.88671875,0.17110183835029602
update,19200,150,105,,,447.4391174316406,-0.2546953558921814,895.389892578125,0.11354317516088486
update,19328,151,105,,,611.2396240234375,-1.304647445678711,1225.0889892578125,0.025945231318473816
update,19456,152,105,,,321.0556945800781,-0.0012833263026550412,642.114013671875,0.0024444686714559793
episode,19457,153,105,-1971.4819999999913,517,,,,
update,19584,153,106,,,742.6155395507812,-0.9505142569541931,1487.1361083984375,0.20074795186519623
update,19712,154,106,,,1539.0858154296875,-4.7036519050598145,3087.58056640625,0.08167175948619843
update,19840,155,106,,,181.2653350830078,-0.0385126993060112,362.6083068847656,0.03046315535902977
episode,19968,156,106,-1972.2809999999863,511,,,,
update,19968,156,107,,,3573.277587890625,10.540092468261719,7125.4755859375,0.03026442602276802
update,20096,157,107,,,533.2996826171875,-1.3212676048278809,1069.2462158203125,0.2116217315196991
update,20224,158,107,,,807.3995971679688,-0.12844732403755188,1615.05810546875,0.10232514142990112
update,20352,159,107,,,1155.5767822265625,0.39881637692451477,2310.35693359375,0.051789164543151855
update,20480,160,107,,,244.88839721679688,-0.0,489.77679443359375,1.072916049338346e-07
episode,20494,161,107,-1762.7919999999906,526,,,,
update,20608,161,108,,,8269.57421875,2.9218411445617676,16533.30859375,0.19790904223918915
update,20736,162,108,,,2007.7689208984375,-0.6241457462310791,4016.786865234375,0.03621841222047806
update,20864,163,108,,,307.2970886230469,-1.0762155397969764e-06,614.5941772460938,5.019227501179557e-06
update,20992,164,108,,,206.18746948242188,-9.675031833467074e-07,412.37493896484375,2.6552045255812118e-06
episode,21012,165,108,-1918.4229999999918,518,,,,
update,21120,165,109,,,7089.21240234375,4.800199031829834,14168.8271484375,0.1444353610277176
update,21248,166,109,,,2424.010498046875,-0.574813187122345,4849.1708984375,0.018911955878138542
update,21376,167,109,,,401.3810729980469,-0.003030449850484729,802.7681884765625,0.0006547982338815928
update,21504,168,109,,,281.9315185546875,-2.3249372134159785e-06,563.863037109375,1.6901962226256728e-05
